Addon,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10
ember-cli-deploy-notify-firebase,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-deploy-opsworks,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-deploy-oss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ember-cli-deploy-ovh-object-storage,5.0,5.0,5.0,6.14285,6.14285,5.375,5.375,5.43209,5.40372,5.51515
ember-cli-deploy-pagefront,1.25,1.25,1.42857,1.42857,1.42857,1.25,0.625,0.61728,0.62111,0.60606
ember-cli-deploy-pn-pack,5.0,5.0,5.71428,5.71428,4.28571,5.0,5.0,5.06172,5.03105,4.90909
ember-cli-deploy-postgres,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-deploy-pusher,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-deploy-raygun,2.5,3.5,4.0,5.14285,3.71428,4.5,4.5,4.5679,4.53416,4.66666
ember-cli-deploy-redis,5.0,5.625,5.71428,6.42857,6.42857,6.875,6.875,6.91358,6.8944,6.96969
ember-cli-deploy-redis-index-adapter,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-deploy-redis-publish,2.5,3.125,3.57142,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-deploy-rest,5.0,5.0,5.71428,6.42857,5.0,4.375,4.375,4.44444,4.40993,4.54545
ember-cli-deploy-revision-data,5.0,5.0,5.0,5.0,5.0,5.625,5.625,5.67901,5.65217,5.75757
ember-cli-deploy-revision-key,3.75,3.75,4.28571,4.28571,4.28571,5.0,5.0,5.06172,5.03105,4.90909
ember-cli-deploy-rollbar,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-cli-deploy-rollbar-sourcemap,3.75,4.375,5.0,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-cli-deploy-rsync,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-deploy-rsync-another,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ember-cli-deploy-rsync-assets,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-deploy-rsync2,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-deploy-s3,6.25,6.875,7.14285,7.14285,7.14285,7.5,7.5,7.53086,7.51552,7.57575
ember-cli-deploy-s3-index,6.25,6.25,6.42857,6.42857,6.42857,6.875,6.875,6.91358,6.8944,6.96969
ember-cli-deploy-s3-pack,2.5,3.5,4.0,5.14285,5.14285,4.5,4.5,4.5679,4.53416,4.66666
ember-cli-deploy-scout-pack,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-deploy-scp,2.5,3.125,3.57142,3.57142,3.57142,3.125,3.125,3.20987,3.1677,3.33333
ember-cli-deploy-sentry,6.25,7.25,7.57142,8.71428,8.71428,8.875,8.875,8.88888,8.88198,8.66666
ember-cli-deploy-sftp,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-deploy-sh,5.0,5.625,6.42857,7.14285,5.71428,5.0,5.0,4.93827,4.96894,4.84848
ember-cli-deploy-simply-ssh,5.0,5.625,6.42857,7.14285,7.14285,6.25,5.625,5.67901,5.65217,5.75757
ember-cli-deploy-slack,6.25,6.875,7.14285,7.85714,7.85714,8.125,8.125,8.14814,8.13664,8.18181
ember-cli-deploy-sm-pack,2.5,2.5,2.85714,3.57142,2.14285,3.125,3.125,3.20987,3.1677,3.33333
ember-cli-deploy-sql,5.0,5.625,6.42857,7.14285,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-cli-deploy-ssh,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-deploy-ssh-execute,5.0,5.625,6.42857,7.14285,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-cli-deploy-ssh-index,5.0,6.0,6.85714,8.0,8.0,7.0,7.0,7.03703,7.01863,7.0909
ember-cli-deploy-ssh-tunnel,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.36363
ember-cli-deploy-ssh2,5.0,5.0,5.71428,6.42857,6.42857,5.625,5.0,5.06172,5.03105,4.90909
ember-cli-deploy-stn-pack,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-deploy-thunder-pack,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-deploy-version,2.5,2.5,2.85714,3.57142,3.57142,3.125,3.125,3.20987,3.1677,3.0909
ember-cli-deploy-versioning,1.25,1.875,2.14285,2.14285,2.14285,3.125,3.125,3.08641,3.10559,3.0303
ember-cli-deploy-webhooks,5.0,6.0,6.85714,8.0,8.0,7.0,7.0,7.03703,7.01863,7.0909
ember-cli-deploy-with-rsync,5.0,5.0,5.71428,6.42857,6.42857,5.625,5.0,5.06172,5.03105,4.90909
ember-cli-deploy-yapp-pack,1.25,1.25,1.42857,1.42857,0.0,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-deploy-zesty-pack,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.12121
ember-cli-deploy-zip,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-deploy-zip-dist,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-deploy-zipalign,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-deploy-zookeeper,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.7037,3.7267,3.87878
ember-cli-deprecation-workflow,7.5,8.5,8.28571,9.42857,9.42857,9.5,9.5,9.50617,9.5031,9.51515
ember-cli-detergent,5.0,5.0,5.71428,5.71428,5.71428,6.25,5.625,5.67901,5.65217,5.51515
ember-cli-dialog,1.25,1.25,1.42857,1.42857,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-dimple,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-dirty-confirm,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-dispatch,6.25,6.25,7.14285,7.14285,7.14285,6.25,6.25,6.29629,6.27329,6.36363
ember-cli-divshot,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-django-rest-auth,2.5,2.5,2.85714,2.85714,2.85714,2.5,1.875,1.9753,1.92546,1.87878
ember-cli-dnd,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-doc-server,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-docker-config,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-document-title,7.5,8.125,7.85714,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.54545
ember-cli-document-title-northm,8.75,8.75,9.28571,9.28571,9.28571,8.125,8.125,8.14814,8.13664,8.18181
ember-cli-dom-observer,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-dom-stats,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-doorbell,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-doorkeeper,2.5,3.125,3.57142,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-doorman,2.5,2.5,2.85714,3.57142,2.14285,1.875,1.875,1.9753,1.92546,1.87878
ember-cli-dotenv,7.5,8.125,7.85714,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.78787
ember-cli-dragula-shim,3.75,4.375,5.0,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-drift,3.75,3.75,4.28571,4.28571,4.28571,5.0,5.0,4.93827,4.96894,4.84848
ember-cli-dropcap,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-dropdown,5.0,5.0,5.71428,5.71428,5.71428,5.0,4.375,4.44444,4.40993,4.30303
ember-cli-dropdown-list,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-dropzonejs,8.75,8.75,9.28571,9.28571,9.28571,8.125,8.125,8.14814,8.13664,8.18181
ember-cli-duda-fork-mixpanel,1.25,1.25,1.42857,1.42857,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-dynamic-forms,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-cli-easy-pie-chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-easypiechart,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-echarts,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-echonest,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-ecosystem-installer,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-eg-code-highlight,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-element-closest-polyfill,6.25,7.25,8.28571,8.28571,6.85714,6.0,6.0,5.92592,5.96273,5.81818
ember-cli-elessar,7.5,7.5,7.85714,7.85714,6.42857,5.625,5.625,5.67901,5.65217,5.51515
ember-cli-embedded,6.25,6.875,7.85714,7.85714,7.85714,6.875,6.875,6.79012,6.83229,6.66666
ember-cli-ember-data,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-ember-leaflet,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-ember-table,3.75,3.75,4.28571,4.28571,4.28571,5.0,5.0,4.93827,4.96894,4.84848
ember-cli-ember-uploader,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-ember-validations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ember-cli-emberfire,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-emberscript,2.5,2.5,2.85714,2.85714,2.85714,2.5,1.875,1.9753,1.92546,1.87878
ember-cli-emblem,8.75,8.75,9.28571,9.28571,9.28571,9.375,9.375,9.38271,9.37888,9.15151
ember-cli-emblem-rails,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-emflux,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-emoji,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-emojione,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-emojione-shim,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-emscripten,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-encore,2.5,2.5,2.85714,2.85714,2.85714,2.5,1.875,1.9753,1.92546,1.87878
ember-cli-envy,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-es5-shim,3.75,3.75,3.57142,3.57142,2.14285,1.875,1.875,1.9753,1.92546,1.87878
ember-cli-es6-transform,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.36363
ember-cli-eslint,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ember-cli-eslinter,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-esnext,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-ethnio,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-event-calendar,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-event-handlers,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-events-bus,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-expandable-grid,2.5,2.5,2.85714,2.85714,2.85714,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-external-css-linker,3.75,4.75,5.42857,6.57142,6.57142,7.0,7.0,7.03703,7.01863,7.0909
ember-cli-external-script-linker,3.75,4.75,5.42857,6.57142,6.57142,7.0,7.0,7.03703,7.01863,7.0909
ember-cli-eyeglass,8.75,8.75,9.28571,9.28571,9.28571,9.375,9.375,9.38271,9.37888,9.39393
ember-cli-f7,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-fabric2-shim,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-facebook-feed,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-facebook-js-sdk,3.75,4.375,5.0,5.71428,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-cli-fake-server,5.0,5.625,6.42857,7.57142,7.57142,6.625,6.625,6.66666,6.64596,6.48484
ember-cli-famous,3.75,3.75,3.57142,3.57142,3.57142,4.375,4.375,4.32098,4.34782,4.24242
ember-cli-fast-table,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-fastboot,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ember-cli-fastboot-dotenv,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-cli-fastboot-testing,5.0,5.0,5.71428,5.71428,5.71428,5.0,4.375,4.32098,4.34782,4.24242
ember-cli-fastclick,2.5,3.125,3.57142,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-fastly,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-fauxjax,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-favico,1.25,1.875,2.14285,2.14285,2.14285,1.875,1.875,1.9753,1.92546,1.87878
ember-cli-favicon,6.25,7.25,7.57142,8.71428,8.71428,7.625,7.625,7.65432,7.63975,7.69696
ember-cli-fbq,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.30434,1.30434,1.51515
ember-cli-feature-manager,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-cli-fetch-async-button,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-file-creator,5.0,5.625,6.42857,6.42857,6.42857,5.625,5.0,5.06172,5.03105,4.90909
ember-cli-file-picker,6.25,6.25,6.42857,6.42857,6.42857,5.625,5.625,5.67901,5.65217,5.51515
ember-cli-file-saver,7.5,7.5,7.85714,7.85714,7.85714,6.875,6.875,6.91358,6.8944,6.96969
ember-cli-filepicker,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.12121
ember-cli-filesize-transform,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-filter-by-query,5.0,5.625,6.42857,7.14285,7.14285,7.5,6.875,6.91358,6.8944,6.96969
ember-cli-filter-component,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-filtertable,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-cli-filtertable-inbox-health,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-cli-find-cached,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-firebase-hosting,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-firebase-messaging,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-cli-fixture-loader,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-flagpole,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-flash,10.0,10.0,10.0,9.71428,9.71428,9.75,9.75,9.75308,9.75155,9.75757
ember-cli-flatpickr,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-flexibility,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-flot,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-flot-spline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-flot-tooltip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-flowtype,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ember-cli-foamtree,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-focus-input,5.0,5.625,6.42857,7.14285,7.14285,7.5,6.875,6.91358,6.8944,6.96969
ember-cli-font-awesome,6.25,6.25,6.42857,7.14285,7.14285,7.5,7.5,7.53086,7.51552,7.57575
ember-cli-font-awesome-sass,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-fontana,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-fontcustom,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-fontello,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-foreigner,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-form-data,5.0,5.625,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-cli-form-errors,3.75,4.75,5.42857,5.42857,5.42857,6.0,6.0,6.04938,6.02484,5.87878
ember-cli-form-validation-service,2.5,2.5,2.85714,2.85714,2.85714,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-formable,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-cli-format-number,5.0,5.0,5.71428,5.71428,5.71428,5.0,4.375,4.44444,4.40993,4.54545
ember-cli-format-roman-numeral,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-formatter,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-fotorama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-foundation-6,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-foundation-6-sass,3.75,4.375,5.0,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-cli-foundation-modal,5.0,5.0,5.71428,5.71428,4.28571,5.0,5.0,5.06172,5.03105,5.15151
ember-cli-foundation-sass,3.75,3.75,3.57142,3.57142,3.57142,4.375,4.375,4.44444,4.40993,4.54545
ember-cli-fraction-shim,6.25,6.25,6.42857,6.42857,6.42857,5.625,5.0,5.06172,5.03105,4.90909
ember-cli-framework7,2.5,2.5,2.85714,4.0,4.0,3.5,3.5,3.58024,3.54037,3.45454
ember-cli-front-end-builds,2.5,2.5,2.85714,2.85714,2.85714,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-fsg-list,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-full-calendar,2.5,2.5,2.85714,2.85714,2.85714,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-full-screen,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-fullPagejs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-fullpagejs,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-fullpagejs-view,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-funnel,5.0,7.25,7.57142,8.71428,7.28571,6.375,6.375,6.41975,6.39751,6.24242
ember-cli-fxos,2.5,2.5,2.85714,2.85714,2.85714,2.5,1.875,1.9753,1.92546,1.87878
ember-cli-g-maps,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-cli-generate-translations,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-geo,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-geolocation,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-geopattern,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-cli-ghost-app,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-cli-giphy,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-gisty,3.75,4.75,5.42857,6.57142,6.57142,5.75,5.75,5.80246,5.77639,5.63636
ember-cli-github-pages,5.0,6.0,5.42857,6.57142,6.57142,7.0,7.0,7.03703,7.01863,6.84848
ember-cli-gitlab-ci,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-global-eval-patch,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-google,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-cli-google-analytics,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-cli-google-charts,1.25,2.25,2.57142,2.57142,2.57142,2.25,2.25,2.22222,2.23602,2.18181
ember-cli-google-contacts,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-google-fonts,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-google-libphonenumber-shim,5.0,5.0,5.0,5.0,5.0,4.375,4.375,4.32098,4.34782,4.24242
ember-cli-google-recaptcha,1.25,2.25,2.57142,3.28571,3.28571,2.875,2.875,2.96296,2.91925,3.0909
ember-cli-google-street-view,5.0,5.0,5.71428,6.85714,6.85714,6.0,6.0,6.04938,6.02484,6.12121
ember-cli-google-viewer,5.0,6.0,6.85714,8.0,6.57142,5.75,5.75,5.80246,5.77639,5.87878
ember-cli-graphql-file,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-gravatar,5.0,5.625,6.42857,7.14285,7.14285,6.25,6.25,6.29629,6.27329,6.36363
ember-cli-groundskeeper,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-group-by,3.75,4.75,5.42857,6.57142,6.57142,5.75,5.75,5.80246,5.77639,5.63636
ember-cli-growl,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-grunticon,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-gss,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.30434,1.30434,1.27272
ember-cli-gtm,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-cli-guardsman,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-guid,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-guitar-chords,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-gzip,3.75,4.375,4.28571,5.0,5.0,4.375,4.375,4.44444,4.40993,4.54545
ember-cli-handlebars-inline-precompile,5.0,5.0,5.71428,5.71428,4.28571,5.0,5.0,5.06172,5.03105,4.90909
ember-cli-happy-splitter,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-has-many-through,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-cli-hash-anywhere,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-hbars,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-head,8.75,8.125,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.54545
ember-cli-headroom,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-heap,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.30434,1.30434,1.51515
ember-cli-hello,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-hellosign,5.0,5.0,5.71428,5.71428,5.71428,5.0,4.375,4.32098,4.34782,4.24242
ember-cli-highlightjs,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-history-mixin,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-holder,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-holderjs,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-holy-cache,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-honeybadger,2.5,2.5,2.85714,2.85714,2.85714,2.5,1.875,1.9753,1.92546,2.12121
ember-cli-honeybadger-io,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-hook-scripts,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-cli-hooks,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-horizon,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-hot-loader,8.75,8.75,9.28571,9.28571,9.28571,9.375,9.375,9.25925,9.31677,9.33333
ember-cli-hoverintent,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
