Addon,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10
ember-idx-list,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-idx-modal,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-idx-tabs,1.25,1.25,1.42857,1.42857,1.42857,1.25,0.625,0.74074,0.68322,0.66666
ember-idx-tour,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-idx-tree,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-idx-utils,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-idx-wysiwyg,2.5,2.5,2.85714,2.85714,2.85714,2.5,1.875,1.9753,1.92546,1.87878
ember-ignore-children-helper,5.0,5.0,5.0,5.0,3.57142,3.125,3.125,3.20987,3.1677,3.33333
ember-image-drop,5.0,5.0,5.71428,5.71428,5.71428,5.0,4.375,4.44444,4.40993,4.30303
ember-image-magnifier,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-image-scrubber,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-image-slider,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-image-zoom,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-imagesloaded-shim,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ember-imdt-magic-crud,2.5,2.5,2.85714,2.85714,1.42857,2.5,2.5,2.59259,2.54658,2.48484
ember-imdt-table,2.5,2.5,2.85714,2.85714,1.42857,2.5,2.5,2.59259,2.54658,2.48484
ember-img-cache,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-img-lazy,3.75,4.375,5.0,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-img-manager,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-imgix,3.75,4.375,5.0,5.0,5.0,4.375,4.375,4.32098,4.34782,4.48484
ember-imgur,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-impagination,8.75,8.75,9.28571,9.28571,9.28571,9.375,9.375,9.38271,9.37888,9.39393
ember-import,3.75,4.75,5.42857,6.57142,6.57142,5.75,5.75,5.80246,5.77639,5.87878
ember-import-blueprints,5.0,5.0,5.0,5.0,5.0,4.375,4.375,4.44444,4.40993,4.54545
ember-impress,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-improved-cp,3.75,4.375,5.0,5.0,5.0,4.375,4.375,4.32098,4.34782,4.48484
ember-in-element-polyfill,5.0,5.625,5.71428,6.42857,6.42857,5.625,5.625,5.55555,5.59006,5.45454
ember-in-viewport,7.5,8.5,8.28571,9.42857,9.42857,9.5,9.5,9.50617,9.5031,9.51515
ember-index,5.0,6.0,6.85714,8.0,8.0,7.0,6.375,6.41975,6.39751,6.24242
